,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,107148,4/20/2022,OBC,800211,3/21/2022,4/20/2022,Landmark Alabang,Landmark Alabang,Landmark Alabang,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,107148,4/20/2022,OBC,800211,3/21/2022,4/20/2022,Landmark Alabang,Landmark Alabang,Landmark Alabang,703020,702002,1,7200033,,apbox,3,CM10AM,1,t,
SOL,107148,4/20/2022,OBC,800211,3/21/2022,4/20/2022,Landmark Alabang,Landmark Alabang,Landmark Alabang,703020,702002,2,7200032,,apbox,2,CM10AM,1,t,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,110024,4/20/2022,RSO,911201,3/19/2022,4/20/2022,110024,IMUS CAVITE,IMUS CAVITE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,110024,4/20/2022,RSO,911201,3/19/2022,4/20/2022,110024,IMUS CAVITE,IMUS CAVITE,703020,702002,1,7200033,,apbox,3,CM10AM,1,f,
SOL,110024,4/20/2022,RSO,911201,3/19/2022,4/20/2022,110024,IMUS CAVITE,IMUS CAVITE,703020,702002,2,7200032,,apbox,2,CM10AM,1,f,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,110091,4/20/2022,OBC,801922,3/21/2022,4/20/2022,Rosario Cavite,Rosario Cavite,Rosario Cavite,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,110091,4/20/2022,OBC,801922,3/21/2022,4/20/2022,Rosario Cavite,Rosario Cavite,Rosario Cavite,703020,702002,1,7200033,,apbox,13,CM10AM,1,t,
SOL,110091,4/20/2022,OBC,801922,3/21/2022,4/20/2022,Rosario Cavite,Rosario Cavite,Rosario Cavite,703020,702002,2,7200032,,apbox,8,CM10AM,1,t,
SOL,110091,4/20/2022,OBC,801922,3/21/2022,4/20/2022,Rosario Cavite,Rosario Cavite,Rosario Cavite,703020,702002,3,1280283,,kgs,1,CM10AM,1,t,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOH,110134,4/20/2022,OBC,801752,3/19/2022,4/20/2022,Gma,Gma,Gma,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOL,110134,4/20/2022,OBC,801752,3/19/2022,4/20/2022,Gma,Gma,Gma,703020,702002,1,7200033,,apbox,7,CM10AM,1,t,
